sku,price
AGNT2298,0
AGNT2302,0
AGNT2303,0
AGNT2305,0
AGNT2306,0
AGNT2307,0
AGNT2308,0
AGNT2309,0
AGNT2310,0
AGNT2311,0
AGNT2318,0
AGNT2320,0
AGNT2325,0
AGNT2326,0
AGNT2328,0
AGNT2329,0
AGNT2330,0
AGNT2331,0
AGNT2332,0
AGNT2333,0
AGNT2334,0
AGNT2335,0
AGNT2341,0
AGNT2342,0
AGNT2345,0
AGNT2346,0
AGNT2348,0
AGNT2349,0
AGNT2350,0
AGNT2354,0
AGNT2355,0
AGNT2357,0
AGNT2358,0
AGNT2360,0
AGNT2361,0
AGNT2362,0
AGNT2363,0
AGNT2372,0
AGNT2375,0
AGNT2377,0
AGNT2380,0
AGNT2382,0
AGNT2387,0
AGNT2388,0
AGNT2392,0
AGNT2393,0
AGNT2395,0
AGNT2400,0
AGNT2403,0
AGNT2422,0
AGNT2426,0
AGNT2427,0
AGNT2428,0
AGNT2429,0
AGNT2436,0
AGNT2438,0
AGNT2448,0
AGNT2454,0
AGNT2455,0
AGNT2460,0
AGNT2461,0
AGNT2462,0
AGNT2465,0
AGNT2466,0
AGNT2467,0
AGNT2468,0
AGNT2472,0
AGNT2475,0
AGNT2480,0
AGNT2482,0
AGNT2485,0
AGNT2493,0
AGNT2510,0
AGNT2515,0
AGNT2516,0
AGNT2537,0
AGNT2540,0
AGNT2544,0
AGNT2545,0
AGNT2548,0
AGNT2550,0
AGNT2551,0
AGNT2563,0
AGNT2571,0
AGNT2573,0
AGNT2574,0
AGNT2578,0
AGNT2579,0
AGNT2580,0
AGNT2581,0
AGNT2582,0
AGNT2583,0
AGNT2586,0
AGNT2587,0
AGNT2590,0
AGNT2591,0
AGNT2592,0
AGNT2593,0
AGNT2594,0
AGNT2595,0
AGNT2596,0
AGNT2602,0
AGNT2603,0
AGNT2605,0
AGNT2614,0
AGNT2615,0
AGNT2617,0
AGNT2618,0
AGNT2619,0
AGNT2620,0
AGNT2621,0
AGNT2622,0
AGNT2635,0
AGNT2640,0
AGNT2647,0
AGNT2653,0
AGNT2654,0
AGNT2658,0
AGNT2659,0
AGNT2661,0
AGNT2662,0
AGNT2663,0
AGNT2668,0
AGNT2682,0
AGNT2685,0
AGNT2687,0
AGNT2689,0
AGNT2690,0
AGNT2698,0
